id,date,timestamp,level,status,method,host,pathname,event_message,headers,regions,log_type,latency,log_count,logs,auth_user
efecb3a9-05dc-49b9-ba13-df642256a5cf,"""2026-07-04T11:07:10.852Z""",2026-07-04T11:07:10.852000,success,200,POST,,/admin/v1/network-bans/retrieve,POST | 200 | https://xayqnpkpgyuytlfpphxi.supabase.co/admin/v1/network-bans/retrieve | @supabase-infra/mgmt-api/af1e2e4,{},[],edge,0,null,[],null
a35afa87-f1c4-4a54-b69a-30263a717005,"""2026-07-04T11:07:10.708Z""",2026-07-04T11:07:10.708000,success,00000,,,,connection received: host=2406:da18:96a:8200:9af2:96f1:2247:7251 port=50052,{},[],postgres,0,null,[],null
5ba428d4-3968-4d94-aafa-73a07f998849,"""2026-07-04T11:07:10.706Z""",2026-07-04T11:07:10.706000,success,00000,,,,connection received: host=2406:da18:96a:8200:f213:db51:d596:cfaf port=47444,{},[],postgres,0,null,[],null
c52cc689-6b2e-49be-b0c9-6c774d8fb95e,"""2026-07-04T11:06:48.636Z""",2026-07-04T11:06:48.636000,error,25P02,,,,"current transaction is aborted, commands ignored until end of transaction block",{},[],postgres,0,null,[],null
3f515304-9617-4684-b09d-c74bccb80cf8,"""2026-07-04T11:06:48.636Z""",2026-07-04T11:06:48.636000,error,42P01,,,,"relation ""master_wilayah"" does not exist",{},[],postgres,0,null,[],null
469f2d91-735b-4aa4-b266-d0859e6520c8,"""2026-07-04T11:06:48.574Z""",2026-07-04T11:06:48.574000,error,500,POST,,/auth/v1/signup,"POST | 500 | https://xayqnpkpgyuytlfpphxi.supabase.co/auth/v1/signup | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
7320d29f-cc12-4426-b5ab-f2c3d209cbfb,"""2026-07-04T11:06:48.459Z""",2026-07-04T11:06:48.459000,success,200,POST,,/rest/v1/rpc/check_username_available,"POST | 200 | https://xayqnpkpgyuytlfpphxi.supabase.co/rest/v1/rpc/check_username_available | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
a617ebc9-0f7d-4625-95dc-125b5778346b,"""2026-07-04T11:06:39.253Z""",2026-07-04T11:06:39.253000,error,25P02,,,,"current transaction is aborted, commands ignored until end of transaction block",{},[],postgres,0,null,[],null
7a0fa1e4-1a4b-4cd3-8f04-0a49d68db2e3,"""2026-07-04T11:06:39.252Z""",2026-07-04T11:06:39.252000,error,42P01,,,,"relation ""master_wilayah"" does not exist",{},[],postgres,0,null,[],null
62b03d20-2375-4764-90bf-f5a5eb36ac4d,"""2026-07-04T11:06:39.054Z""",2026-07-04T11:06:39.054000,error,500,POST,,/auth/v1/signup,"POST | 500 | https://xayqnpkpgyuytlfpphxi.supabase.co/auth/v1/signup | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",{},[],edge,0,null,[],null
